ticker,date,open,high,low,close,volume
AMZN,2025-01-02,222.03,225.15,218.19,220.22,33956600
AMZN,2025-01-03,222.51,225.36,221.62,224.19,27515600
AMZN,2025-01-06,226.78,228.84,224.84,227.61,31849800
AMZN,2025-01-07,227.9,228.38,221.46,222.11,28084200
AMZN,2025-01-08,223.19,223.52,220.2,222.13,25033300
AMZN,2025-01-10,221.46,221.71,216.5,218.94,36811500
AMZN,2025-01-13,218.06,219.4,216.47,218.46,27262700
AMZN,2025-01-14,220.44,221.82,216.2,217.76,24711700
AMZN,2025-01-15,222.83,223.57,220.75,223.35,31291300
AMZN,2025-01-16,224.42,224.65,220.31,220.66,24757300
AMZN,2025-01-17,225.84,226.51,223.08,225.94,42370100
AMZN,2025-01-21,228.9,231.78,226.94,230.71,39951500
AMZN,2025-01-22,232.02,235.44,231.19,235.01,41448200
AMZN,2025-01-23,234.1,235.52,231.51,235.42,26404400
AMZN,2025-01-24,234.5,236.4,232.93,234.85,25890700
AMZN,2025-01-27,226.21,235.61,225.86,235.42,49428300
AMZN,2025-01-28,234.29,241.77,233.98,238.15,41587200
AMZN,2025-01-29,239.02,240.39,236.15,237.07,26091700
AMZN,2025-01-30,237.14,237.95,232.22,234.64,32020700
AMZN,2025-01-31,236.5,240.29,236.41,237.68,36110200
AMZN,2025-02-03,234.06,239.25,232.9,237.42,37285900
AMZN,2025-02-04,239.01,242.52,238.03,242.06,29713800
AMZN,2025-02-05,237.02,238.32,235.2,236.17,38727300
AMZN,2025-02-06,238.01,239.66,236.01,238.83,60897100
AMZN,2025-02-07,232.5,234.81,228.06,229.15,77539300
AMZN,2025-02-10,230.55,233.92,229.2,233.14,35419900
AMZN,2025-02-11,231.92,233.44,230.13,232.76,23713700
AMZN,2025-02-12,230.46,231.18,228.16,228.93,32285200
AMZN,2025-02-13,228.85,230.42,227.52,230.37,31346500
AMZN,2025-02-14,229.2,229.89,227.23,228.68,27031100
AMZN,2025-02-18,228.82,229.3,223.72,226.65,42975100
AMZN,2025-02-19,225.52,226.83,223.71,226.63,28566700
AMZN,2025-02-20,224.78,225.13,221.81,222.88,30001700
AMZN,2025-02-21,223.28,223.31,214.74,216.58,55323900
AMZN,2025-02-24,217.45,217.72,212.42,212.71,42387600
AMZN,2025-02-25,211.63,213.34,204.16,212.8,58958000
AMZN,2025-02-26,214.94,218.16,213.09,214.35,39120600
AMZN,2025-02-27,218.35,219.97,208.37,208.74,40548600
AMZN,2025-02-28,208.65,212.62,206.99,212.28,51771700
AMZN,2025-03-03,213.35,214.01,202.55,205.02,42948400
